FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
139,"永","eternity",2019-11-01 03:21:01,2019-11-26,5,1,8
140,"泉","spring",2019-10-31 03:11:34,2019-11-13,4,2,8
141,"腺","gland",2019-11-04 02:55:33,2019-11-28,5,4,8
142,"原","meadow",2019-11-09 09:31:58,2019-12-02,5,4,9
143,"願","petition",2019-11-01 03:20:10,2019-12-01,5,2,7
144,"泳","swim",2019-10-08 16:47:16,2019-11-22,6,0,5
145,"沼","marsh",2019-10-08 17:12:44,2019-11-28,6,0,5
146,"沖","open sea",2019-10-09 14:01:04,2019-11-25,6,1,4
147,"汎","pan-",2019-10-28 03:50:00,2019-12-13,6,0,5
148,"江","creek",2019-10-09 14:13:21,2019-12-05,6,1,5
149,"汰","cleanse",2019-11-07 02:53:02,2019-12-22,6,1,7
150,"汁","soup",2019-10-09 14:08:26,2019-12-07,6,0,5
151,"沙","grains of sand",2019-10-28 03:45:49,2019-12-14,6,0,5
152,"潮","tide",2019-10-08 16:58:39,2019-11-24,6,1,4
153,"源","source",2019-11-09 09:37:49,2019-11-11,2,7,10
154,"活","lively",2019-11-05 02:31:38,2019-12-26,6,0,5
155,"消","extinguish",2019-10-28 03:45:49,2019-12-28,6,0,5
156,"況","but of course",2019-11-06 02:33:01,2019-12-23,6,3,7
157,"河","river",2019-10-28 03:49:30,2019-12-14,6,1,5
158,"泊","overnight",2019-10-08 17:06:35,2019-11-22,6,0,5
159,"湖","lake",2019-10-11 02:39:51,2019-12-08,6,2,5
160,"測","fathom",2019-10-30 03:30:20,2019-12-16,6,0,5
161,"土","soil",2019-10-10 02:49:18,2019-12-06,6,0,5
162,"吐","spit",2019-10-08 17:17:50,2019-11-28,6,0,5
163,"圧","pressure",2019-10-10 02:40:08,2019-12-01,6,1,5
164,"埼","cape",2019-10-31 12:56:41,2019-12-18,6,0,5
165,"垣","hedge",2019-11-03 03:31:35,2019-12-19,6,0,5
166,"填","inlay",2019-11-04 02:59:50,2019-12-26,6,3,7
167,"圭","squared jewel",2019-10-13 08:23:29,2019-12-03,6,0,5
168,"封","seal",2019-10-31 03:08:00,2019-11-13,4,5,8
169,"涯","horizon",2019-10-09 14:10:08,2019-12-08,6,0,5
170,"寺","Buddhist temple",2019-10-09 14:25:26,2019-11-24,6,0,5
171,"時","time",2019-10-10 02:46:04,2019-12-05,6,0,5
172,"均","level",2019-11-04 02:49:29,2019-11-11,3,2,6
173,"火","fire",2019-11-03 03:26:53,2020-01-23,6,0,5
174,"炎","inflammation",2019-10-19 10:39:04,2019-11-14,5,1,6
175,"煩","anxiety",2019-10-31 03:14:19,2019-11-23,5,3,8
176,"淡","thin",2019-10-08 16:47:16,2019-11-24,6,1,5
177,"灯","lamp",2019-10-28 03:49:30,2019-12-24,6,0,5
178,"畑","farm",2019-10-31 03:03:32,2019-12-15,6,1,5
179,"災","disaster",2019-10-31 03:10:19,2019-11-27,5,3,8
180,"灰","ashes",2019-11-03 03:31:35,2019-11-25,5,1,8
181,"点","spot",2019-11-05 03:05:43,2019-12-31,6,0,5
182,"照","illuminate",2019-10-24 14:37:04,2019-11-16,5,2,7
183,"魚","fish",2019-10-08 14:35:46,2019-11-16,5,0,4
184,"漁","fishing",2019-10-09 14:25:26,2019-11-30,6,0,5
185,"里","ri",2019-11-04 02:59:50,2020-01-30,6,1,5
186,"黒","black",2019-10-08 14:45:13,2019-12-07,6,0,5
187,"墨","black ink",2019-10-08 16:37:52,2019-12-01,6,1,4
188,"鯉","carp",2019-10-30 03:30:20,2019-12-29,6,1,7
189,"量","quantity",2019-10-11 02:39:51,2019-12-09,6,0,5
190,"厘","rin",2019-10-08 17:03:49,2019-12-07,6,0,5
191,"埋","bury",2019-10-31 12:56:41,2019-11-24,5,3,8
192,"同","same",2019-10-08 17:06:35,2019-11-26,6,1,5
193,"洞","den",2019-10-08 17:21:12,2019-11-23,6,0,5
194,"胴","trunk",2019-10-10 02:40:08,2019-11-28,6,1,6
195,"向","yonder",2019-10-09 14:04:26,2019-12-04,6,0,5
196,"尚","esteem",2019-10-31 03:07:10,2019-12-21,6,0,5
197,"字","character",2019-10-28 03:47:48,2019-12-21,6,0,5
198,"守","guard",2019-11-02 05:51:02,2019-12-01,5,2,8
199,"完","perfect",2019-10-12 13:20:10,2019-12-05,6,1,5
200,"宣","proclaim",2019-10-08 16:49:14,2019-12-04,6,0,5
201,"宵","wee hours",2019-10-08 17:13:56,2019-11-22,6,1,5
202,"安","relax",2019-10-08 17:08:28,2019-11-23,6,0,5
203,"宴","banquet",2019-10-08 17:17:50,2019-11-28,6,0,5
204,"寄","draw near",2019-10-31 03:07:10,2019-11-30,5,2,7
205,"富","wealth",2019-10-08 16:58:39,2019-11-26,6,1,4
206,"貯","savings",2019-10-08 17:12:44,2019-11-24,6,0,5
207,"木","tree",2019-10-08 14:37:56,2019-11-15,5,0,4
208,"林","grove",2019-10-28 03:47:48,2019-12-17,6,0,5
209,"森","forest",2019-10-06 12:06:02,2019-11-16,5,0,4
210,"桂","Japanese Judas-tree",2019-11-06 02:26:23,2019-11-11,3,1,6
211,"柏","oak",2019-10-12 13:17:54,2019-12-01,6,0,5
212,"枠","frame",2019-11-01 03:20:10,2019-12-30,6,0,5
213,"梢","treetops",2019-11-02 05:49:43,2019-11-10,3,3,8
214,"棚","shelf",2019-11-02 05:51:02,2019-11-29,5,1,8
215,"杏","apricot",2019-10-09 14:10:08,2019-12-02,6,0,5
216,"桐","paulownia",2019-11-03 03:24:09,2019-12-31,6,0,5
217,"植","plant",2019-10-09 14:13:21,2019-12-03,6,0,5
218,"椅","chair",2019-10-10 02:49:55,2019-11-30,6,0,5
219,"枯","wither",2019-11-03 03:25:37,2019-12-01,5,1,8
220,"朴","crude",2019-11-03 03:24:09,2020-01-01,6,2,7
221,"村","town",2019-10-31 03:08:00,2019-12-31,6,2,7
222,"相","inter-",2019-10-08 16:44:12,2019-12-06,6,0,5
223,"机","desk",2019-11-03 03:28:54,2019-12-18,6,0,5
224,"本","book",2019-10-08 14:30:31,2019-11-13,5,0,4
225,"札","tag",2019-10-08 16:58:39,2019-12-04,6,0,5
226,"暦","calendar",2019-10-31 03:03:32,2019-11-15,4,4,10
227,"案","plan",2019-10-09 14:32:27,2019-12-09,6,0,5
228,"燥","parch",2019-10-09 14:32:27,2019-11-29,6,0,5
229,"未","not yet",2019-10-10 02:44:37,2019-11-26,6,0,5
230,"末","extremity",2019-10-08 17:12:44,2019-11-25,6,0,5
231,"昧","obscure",2019-10-08 16:47:16,2019-11-22,6,0,5
232,"沫","splash",2019-11-09 09:23:10,2019-11-21,4,2,8
233,"味","flavor",2019-11-04 02:55:33,2020-01-01,6,1,5
234,"妹","younger sister",2019-11-05 03:05:43,2020-01-02,6,0,5
235,"朱","vermilion",2019-11-05 02:32:53,2020-01-02,6,0,5
236,"株","stocks",2019-10-08 14:45:13,2019-11-27,6,0,5
237,"若","young",2019-10-09 14:04:26,2019-11-30,6,2,6
238,"草","grass",2019-10-09 14:16:36,2019-12-07,6,0,5
239,"苦","suffering",2019-10-31 03:11:38,2019-11-28,5,2,8
240,"苛","bullying",2019-11-03 03:30:02,2019-11-26,5,1,8
241,"寛","tolerant",2019-11-03 03:30:02,2019-11-27,5,2,8
242,"薄","dilute",2019-11-03 03:31:35,2019-12-03,5,2,8
243,"葉","leaf",2019-11-01 03:23:27,2019-12-17,6,2,6
244,"模","imitation",2019-10-30 03:28:02,2019-12-23,6,1,5
245,"漠","vague",2019-10-21 03:09:56,2019-11-16,5,1,6
246,"墓","grave",2019-11-03 03:31:35,2019-12-23,6,0,5
247,"暮","livelihood",2019-11-09 09:23:10,2019-11-14,3,2,6
248,"膜","membrane",2019-10-09 14:01:04,2019-12-05,6,0,5
249,"苗","seedling",2019-11-09 09:29:40,2019-11-15,3,1,6
250,"兆","portent",2019-10-08 16:42:42,2019-12-05,6,0,5
251,"桃","peach tree",2019-11-04 02:57:55,2019-11-11,3,2,6
252,"眺","stare",2019-10-31 03:07:10,2019-12-29,6,1,5
253,"犬","dog",2019-10-07 01:01:53,2019-11-16,5,1,5
254,"状","status quo",2019-10-08 17:14:17,2019-11-26,6,1,5
255,"黙","silence",2019-11-03 03:25:37,2019-11-27,5,3,8
256,"然","sort of thing",2019-10-08 17:13:56,2019-11-28,6,0,5
257,"荻","reed",2019-10-10 02:47:10,2019-11-28,6,1,5
258,"狩","hunt",2019-10-08 16:42:42,2019-12-03,6,2,5
259,"猫","cat",2019-10-08 17:00:26,2019-12-08,6,0,5
260,"牛","cow",2019-10-21 03:09:56,2019-12-20,6,0,5
261,"特","special",2019-10-08 17:06:35,2019-11-27,6,0,5
262,"告","revelation",2019-10-08 17:10:51,2019-11-23,6,0,5
263,"先","before",2019-10-30 03:29:04,2019-12-23,6,1,5
264,"洗","wash",2019-10-27 11:53:40,2019-11-10,4,1,7
265,"介","jammed in",2019-10-09 14:24:13,2019-12-07,6,0,5
266,"界","world",2019-11-03 03:25:37,2019-12-25,6,1,5
267,"茶","tea",2019-10-08 16:42:42,2019-12-06,6,0,5
268,"脊","spinal column",2019-11-09 09:43:17,2019-11-15,3,5,8
269,"合","fit",2019-11-04 02:57:55,2019-12-29,6,0,5
270,"塔","pagoda",2019-10-08 17:14:17,2019-11-28,6,0,5
271,"王","king",2019-10-31 03:07:10,2019-12-30,6,0,5
272,"玉","jewel",2019-11-09 09:41:38,2019-12-06,5,3,9
273,"宝","treasure",2019-11-09 09:41:38,2019-11-24,4,3,8
274,"珠","pearl",2019-10-09 14:01:04,2019-12-04,6,0,5
275,"現","present",2019-11-05 02:36:25,2019-12-01,5,2,8
276,"玩","toy",2019-10-31 12:56:41,2019-11-12,4,6,8
277,"狂","lunatic",2019-10-08 14:45:13,2019-12-02,6,0,5
278,"旺","effulgent",2019-10-09 14:04:26,2019-12-05,6,2,6
279,"皇","emperor",2019-10-08 16:37:52,2019-12-04,6,0,5
280,"呈","display",2019-11-03 03:31:35,2019-12-23,6,1,7
281,"全","whole",2019-10-08 17:00:26,2019-11-30,6,1,4
282,"栓","plug",2019-10-12 13:14:05,2019-12-12,6,1,5
283,"理","logic",2019-10-08 16:46:05,2019-12-06,6,1,5
284,"主","lord",2019-10-09 14:25:26,2019-11-27,6,0,5
285,"注","pour",2019-11-03 03:28:54,2019-12-20,6,1,5
286,"柱","pillar",2019-11-02 05:51:02,2019-11-29,5,1,7
287,"金","gold",2019-10-27 12:00:08,2019-12-24,6,0,5
288,"銑","pig iron",2019-10-08 16:42:42,2019-12-03,6,1,5
289,"鉢","bowl",2019-10-08 14:45:13,2019-11-26,6,1,5
290,"銅","copper",2019-10-08 17:08:28,2019-11-30,6,0,5
291,"釣","angling",2019-11-09 09:29:40,2019-11-16,3,3,8
292,"針","needle",2019-11-02 05:49:43,2019-12-29,6,1,5
293,"銘","inscription",2019-10-12 13:14:05,2019-12-01,6,1,5
294,"鎮","tranquillize",2019-10-09 14:33:33,2019-11-23,6,2,6
295,"道","road-way",2019-10-09 14:22:23,2019-11-24,6,1,5
296,"導","guidance",2019-10-08 17:02:38,2019-11-23,6,1,5
297,"辻","crossing",2019-10-08 17:03:49,2019-11-23,6,0,5
298,"迅","swift",2019-11-02 05:47:51,2019-11-28,5,4,7
299,"造","create",2019-10-08 16:49:14,2019-11-27,6,0,5
300,"迫","urge",2019-10-28 03:50:00,2019-12-18,6,0,5
